expresar_ideas,buen_oyente,trabajo_equipo,rol_equipo,importancia_colaboracion,reaccion_problemas,nuevas_soluciones,adaptacion,aprender_nuevas_herramientas,manejo_tiempo,efectividad_tiempo,cuestionar_informacion,evaluar_puntos_vista
Muy cómodo,"No, me cuesta prestar atención",Poco cómodo,Líder,Importante,Me rindo fácilmente,Raramente,Muy fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Algunas veces,Cómodo
Incomodo,Generalmente sí,Muy cómodo,Seguidor,Muy importante,Pido ayuda,Muy frecuentemente,Muy fácil,Neutral,"Intento planificar, pero a veces me retraso",Poco efectivo,Algunas veces,Cómodo
Poco cómodo,A veces,Poco cómodo,Líder,Muy importante,Busco soluciones inmediatamente,Raramente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Raramente,Incomodo
Poco cómodo,"Sí, siempre",Cómodo,Líder,Muy importante,Busco soluciones inmediatamente,Ocasionalmente,Muy difícil,Neutral,Trabajo sin mucha planificación,Ineficiente,Frecuentemente,Muy cómodo
Cómodo,Generalmente sí,Poco cómodo,Facilitador,No es importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Efectivo,Frecuentemente,Poco cómodo
Muy cómodo,Generalmente sí,Incomodo,Facilitador,Muy importante,Pido ayuda,Ocasionalmente,Muy fácil,Neutral,Trabajo sin mucha planificación,Poco efectivo,Frecuentemente,Cómodo
Cómodo,"No, me cuesta prestar atención",Cómodo,Seguidor,Muy importante,Pido ayuda,Frecuentemente,Difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Algunas veces,Cómodo
Poco cómodo,A veces,Cómodo,Seguidor,Importante,Me rindo fácilmente,Muy frecuentemente,Muy difícil,Incomodo,Planifico con antelación y sigo mi plan,Efectivo,Algunas veces,Incomodo
Muy cómodo,A veces,Incomodo,Líder,No es importante,Me rindo fácilmente,Frecuentemente,Difícil,Incomodo,Trabajo sin mucha planificación,Ineficiente,Algunas veces,Poco cómodo
Poco cómodo,Generalmente sí,Incomodo,No tengo una preferencia clara,No es importante,Me siento frustrado pero lo intento,Frecuentemente,Difícil,Interesado,Planifico con antelación y sigo mi plan,Ineficiente,Siempre,Incomodo
Poco cómodo,"Sí, siempre",Poco cómodo,Líder,Muy importante,Busco soluciones inmediatamente,Raramente,Fácil,Incomodo,Trabajo sin mucha planificación,Efectivo,Algunas veces,Poco cómodo
Incomodo,A veces,Poco cómodo,No tengo una preferencia clara,No es importante,Pido ayuda,Muy frecuentemente,Difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Poco efectivo,Algunas veces,Cómodo
Cómodo,"Sí, siempre",Cómodo,No tengo una preferencia clara,Importante,Me rindo fácilmente,Raramente,Difícil,Entusiasmado,Trabajo sin mucha planificación,Muy efectivo,Raramente,Incomodo
Poco cómodo,"Sí, siempre",Cómodo,Facilitador,Importante,Me rindo fácilmente,Ocasionalmente,Fácil,Neutral,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Cómodo
Poco cómodo,A veces,Muy cómodo,Facilitador,Poco importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Algunas veces,Incomodo
Cómodo,"Sí, siempre",Poco cómodo,Líder,Importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Poco efectivo,Siempre,Poco cómodo
Cómodo,Generalmente sí,Muy cómodo,Facilitador,Muy importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Interesado,"Intento planificar, pero a veces me retraso",Ineficiente,Raramente,Muy cómodo
Muy cómodo,A veces,Cómodo,No tengo una preferencia clara,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy fácil,Interesado,"Intento planificar, pero a veces me retraso",Efectivo,Frecuentemente,Cómodo
Muy cómodo,A veces,Poco cómodo,Facilitador,No es importante,Pido ayuda,Raramente,Muy fácil,Interesado,"Intento planificar, pero a veces me retraso",Ineficiente,Raramente,Incomodo
Poco cómodo,A veces,Incomodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Raramente,Difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Siempre,Poco cómodo
Cómodo,Generalmente sí,Cómodo,Seguidor,Importante,Me siento frustrado pero lo intento,Muy frecuentemente,Fácil,Neutral,Planifico con antelación y sigo mi plan,Ineficiente,Siempre,Muy cómodo
Muy cómodo,"No, me cuesta prestar atención",Cómodo,Seguidor,Importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy difícil,Incomodo,Trabajo sin mucha planificación,Efectivo,Frecuentemente,Poco cómodo
Muy cómodo,"Sí, siempre",Cómodo,Seguidor,Muy importante,Me rindo fácilmente,Raramente,Fácil,Neutral,"Intento planificar, pero a veces me retraso",Efectivo,Siempre,Poco cómodo
Poco cómodo,Generalmente sí,Incomodo,Facilitador,Importante,Me siento frustrado pero lo intento,Raramente,Muy difícil,Neutral,Trabajo sin mucha planificación,Poco efectivo,Siempre,Poco cómodo
Muy cómodo,"No, me cuesta prestar atención",Poco cómodo,No tengo una preferencia clara,Muy importante,Pido ayuda,Muy frecuentemente,Fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Cómodo
Cómodo,A veces,Muy cómodo,Facilitador,Muy importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Frecuentemente,Muy cómodo
Muy cómodo,"Sí, siempre",Incomodo,Líder,Poco importante,Me rindo fácilmente,Frecuentemente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Algunas veces,Poco cómodo
Muy cómodo,"No, me cuesta prestar atención",Cómodo,Líder,Muy importante,Me rindo fácilmente,Raramente,Muy difícil,Neutral,"Intento planificar, pero a veces me retraso",Ineficiente,Frecuentemente,Incomodo
Incomodo,A veces,Cómodo,Seguidor,Poco importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Algunas veces,Muy cómodo
Muy cómodo,"Sí, siempre",Cómodo,Seguidor,Importante,Pido ayuda,Ocasionalmente,Fácil,Incomodo,Trabajo sin mucha planificación,Ineficiente,Frecuentemente,Incomodo
Muy cómodo,"Sí, siempre",Cómodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Muy frecuentemente,Muy fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Ineficiente,Frecuentemente,Poco cómodo
Cómodo,"Sí, siempre",Poco cómodo,Líder,Poco importante,Me rindo fácilmente,Raramente,Fácil,Neutral,"Intento planificar, pero a veces me retraso",Efectivo,Algunas veces,Poco cómodo
Incomodo,"Sí, siempre",Incomodo,Facilitador,Importante,Pido ayuda,Muy frecuentemente,Muy fácil,Incomodo,Planifico con antelación y sigo mi plan,Ineficiente,Frecuentemente,Incomodo
Poco cómodo,"No, me cuesta prestar atención",Muy cómodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Ocasionalmente,Fácil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Algunas veces,Cómodo
Cómodo,"Sí, siempre",Incomodo,Seguidor,Poco importante,Busco soluciones inmediatamente,Raramente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Efectivo,Algunas veces,Muy cómodo
Incomodo,Generalmente sí,Cómodo,Facilitador,Importante,Pido ayuda,Frecuentemente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Ineficiente,Algunas veces,Poco cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,Facilitador,No es importante,Pido ayuda,Ocasionalmente,Difícil,Interesado,Trabajo sin mucha planificación,Muy efectivo,Siempre,Muy cómodo
Incomodo,"No, me cuesta prestar atención",Muy cómodo,Seguidor,Importante,Pido ayuda,Ocasionalmente,Difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Efectivo,Algunas veces,Incomodo
Cómodo,A veces,Incomodo,No tengo una preferencia clara,Importante,Busco soluciones inmediatamente,Raramente,Fácil,Entusiasmado,Trabajo sin mucha planificación,Poco efectivo,Raramente,Muy cómodo
Muy cómodo,"No, me cuesta prestar atención",Incomodo,Líder,Importante,Me siento frustrado pero lo intento,Muy frecuentemente,Difícil,Interesado,Trabajo sin mucha planificación,Muy efectivo,Frecuentemente,Muy cómodo
Poco cómodo,"No, me cuesta prestar atención",Muy cómodo,Facilitador,Poco importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Interesado,Trabajo sin mucha planificación,Poco efectivo,Raramente,Poco cómodo
Incomodo,A veces,Poco cómodo,Facilitador,No es importante,Pido ayuda,Raramente,Fácil,Neutral,Trabajo sin mucha planificación,Ineficiente,Frecuentemente,Incomodo
Muy cómodo,A veces,Incomodo,Seguidor,Poco importante,Me rindo fácilmente,Muy frecuentemente,Fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Frecuentemente,Poco cómodo
Poco cómodo,Generalmente sí,Poco cómodo,Líder,Importante,Me rindo fácilmente,Raramente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Raramente,Muy cómodo
Muy cómodo,A veces,Cómodo,Líder,Importante,Me rindo fácilmente,Frecuentemente,Difícil,Interesado,Trabajo sin mucha planificación,Ineficiente,Raramente,Muy cómodo
Incomodo,"No, me cuesta prestar atención",Incomodo,Facilitador,Muy importante,Pido ayuda,Muy frecuentemente,Muy fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Ineficiente,Algunas veces,Poco cómodo
Incomodo,Generalmente sí,Cómodo,Seguidor,No es importante,Busco soluciones inmediatamente,Raramente,Muy fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Muy efectivo,Raramente,Muy cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,Líder,Importante,Busco soluciones inmediatamente,Ocasionalmente,Difícil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Muy cómodo
Incomodo,"No, me cuesta prestar atención",Muy cómodo,Líder,Muy importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Cómodo
Incomodo,"Sí, siempre",Cómodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Muy frecuentemente,Fácil,Interesado,Planifico con antelación y sigo mi plan,Efectivo,Raramente,Incomodo
Muy cómodo,A veces,Cómodo,Facilitador,Importante,Busco soluciones inmediatamente,Ocasionalmente,Fácil,Interesado,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Incomodo
Cómodo,"No, me cuesta prestar atención",Muy cómodo,Líder,Muy importante,Me rindo fácilmente,Ocasionalmente,Fácil,Interesado,Planifico con antelación y sigo mi plan,Ineficiente,Siempre,Muy cómodo
Muy cómodo,"No, me cuesta prestar atención",Incomodo,Seguidor,Muy importante,Busco soluciones inmediatamente,Muy frecuentemente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Raramente,Incomodo
Poco cómodo,Generalmente sí,Muy cómodo,Líder,Importante,Pido ayuda,Frecuentemente,Fácil,Neutral,Planifico con antelación y sigo mi plan,Ineficiente,Frecuentemente,Cómodo
Muy cómodo,"Sí, siempre",Cómodo,Facilitador,No es importante,Me rindo fácilmente,Raramente,Difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Raramente,Poco cómodo
Cómodo,A veces,Cómodo,Seguidor,Importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Ineficiente,Frecuentemente,Muy cómodo
Incomodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Poco importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Neutral,"Intento planificar, pero a veces me retraso",Ineficiente,Siempre,Poco cómodo
Poco cómodo,A veces,Muy cómodo,Líder,Muy importante,Busco soluciones inmediatamente,Raramente,Muy fácil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Raramente,Incomodo
Muy cómodo,A veces,Poco cómodo,No tengo una preferencia clara,Muy importante,Busco soluciones inmediatamente,Ocasionalmente,Muy fácil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Muy cómodo
Poco cómodo,"Sí, siempre",Poco cómodo,Facilitador,Muy importante,Pido ayuda,Muy frecuentemente,Muy fácil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Frecuentemente,Muy cómodo
Cómodo,"Sí, siempre",Cómodo,Seguidor,No es importante,Pido ayuda,Raramente,Difícil,Neutral,"Intento planificar, pero a veces me retraso",Muy efectivo,Siempre,Poco cómodo
Poco cómodo,A veces,Cómodo,Facilitador,Muy importante,Busco soluciones inmediatamente,Frecuentemente,Muy fácil,Neutral,Trabajo sin mucha planificación,Ineficiente,Frecuentemente,Incomodo
Muy cómodo,A veces,Incomodo,Facilitador,Muy importante,Pido ayuda,Muy frecuentemente,Muy fácil,Interesado,Planifico con antelación y sigo mi plan,Ineficiente,Siempre,Incomodo
Incomodo,A veces,Cómodo,Líder,Poco importante,Me siento frustrado pero lo intento,Raramente,Fácil,Interesado,"Intento planificar, pero a veces me retraso",Poco efectivo,Frecuentemente,Incomodo
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Poco importante,Me siento frustrado pero lo intento,Frecuentemente,Muy difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Efectivo,Siempre,Muy cómodo
Muy cómodo,"No, me cuesta prestar atención",Muy cómodo,Líder,No es importante,Pido ayuda,Frecuentemente,Muy fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Efectivo,Siempre,Poco cómodo
Cómodo,"No, me cuesta prestar atención",Muy cómodo,Seguidor,Importante,Me siento frustrado pero lo intento,Raramente,Muy fácil,Neutral,Suelo procrastinar y hacer todo al último momento,Efectivo,Raramente,Cómodo
Incomodo,"No, me cuesta prestar atención",Poco cómodo,No tengo una preferencia clara,No es importante,Me rindo fácilmente,Raramente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Algunas veces,Muy cómodo
Incomodo,"No, me cuesta prestar atención",Muy cómodo,Seguidor,Importante,Busco soluciones inmediatamente,Ocasionalmente,Muy difícil,Interesado,"Intento planificar, pero a veces me retraso",Ineficiente,Frecuentemente,Cómodo
Cómodo,Generalmente sí,Muy cómodo,Facilitador,Muy importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Raramente,Incomodo
Muy cómodo,Generalmente sí,Poco cómodo,Seguidor,Importante,Me siento frustrado pero lo intento,Ocasionalmente,Difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Muy cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,No tengo una preferencia clara,Muy importante,Pido ayuda,Muy frecuentemente,Muy difícil,Interesado,Planifico con antelación y sigo mi plan,Efectivo,Frecuentemente,Muy cómodo
Incomodo,Generalmente sí,Muy cómodo,Líder,Importante,Busco soluciones inmediatamente,Ocasionalmente,Muy fácil,Interesado,"Intento planificar, pero a veces me retraso",Muy efectivo,Raramente,Poco cómodo
Incomodo,"Sí, siempre",Muy cómodo,Seguidor,No es importante,Me siento frustrado pero lo intento,Ocasionalmente,Difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Raramente,Poco cómodo
Muy cómodo,"Sí, siempre",Poco cómodo,No tengo una preferencia clara,Importante,Pido ayuda,Muy frecuentemente,Difícil,Incomodo,Trabajo sin mucha planificación,Ineficiente,Raramente,Cómodo
Incomodo,"No, me cuesta prestar atención",Incomodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Frecuentemente,Fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Ineficiente,Frecuentemente,Poco cómodo
Cómodo,A veces,Incomodo,Facilitador,Poco importante,Me rindo fácilmente,Frecuentemente,Muy difícil,Incomodo,Suelo procrastinar y hacer todo al último momento,Ineficiente,Siempre,Incomodo
Poco cómodo,A veces,Incomodo,Seguidor,No es importante,Me siento frustrado pero lo intento,Raramente,Muy difícil,Interesado,Trabajo sin mucha planificación,Ineficiente,Siempre,Muy cómodo
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,No es importante,Me siento frustrado pero lo intento,Raramente,Muy difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Frecuentemente,Poco cómodo
Poco cómodo,A veces,Incomodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Ocasionalmente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Poco cómodo
Muy cómodo,"Sí, siempre",Poco cómodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Muy frecuentemente,Difícil,Neutral,Planifico con antelación y sigo mi plan,Efectivo,Raramente,Muy cómodo
Poco cómodo,Generalmente sí,Incomodo,Seguidor,Muy importante,Me rindo fácilmente,Muy frecuentemente,Fácil,Interesado,Trabajo sin mucha planificación,Muy efectivo,Siempre,Poco cómodo
Muy cómodo,"No, me cuesta prestar atención",Poco cómodo,Seguidor,Poco importante,Me rindo fácilmente,Frecuentemente,Difícil,Neutral,Trabajo sin mucha planificación,Muy efectivo,Algunas veces,Muy cómodo
Cómodo,Generalmente sí,Cómodo,No tengo una preferencia clara,No es importante,Pido ayuda,Muy frecuentemente,Difícil,Interesado,Planifico con antelación y sigo mi plan,Muy efectivo,Raramente,Poco cómodo
Muy cómodo,Generalmente sí,Poco cómodo,Líder,Muy importante,Me rindo fácilmente,Raramente,Muy difícil,Incomodo,Planifico con antelación y sigo mi plan,Efectivo,Frecuentemente,Poco cómodo
Incomodo,"No, me cuesta prestar atención",Incomodo,Líder,Poco importante,Me rindo fácilmente,Muy frecuentemente,Muy fácil,Incomodo,"Intento planificar, pero a veces me retraso",Efectivo,Raramente,Incomodo
Cómodo,Generalmente sí,Muy cómodo,Seguidor,Muy importante,Pido ayuda,Raramente,Difícil,Interesado,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Incomodo
Poco cómodo,"Sí, siempre",Incomodo,Facilitador,Poco importante,Me rindo fácilmente,Raramente,Muy difícil,Incomodo,Trabajo sin mucha planificación,Muy efectivo,Siempre,Poco cómodo
Cómodo,Generalmente sí,Muy cómodo,No tengo una preferencia clara,Importante,Pido ayuda,Muy frecuentemente,Muy fácil,Entusiasmado,Trabajo sin mucha planificación,Efectivo,Frecuentemente,Muy cómodo
Incomodo,"Sí, siempre",Muy cómodo,No tengo una preferencia clara,Muy importante,Pido ayuda,Ocasionalmente,Fácil,Neutral,"Intento planificar, pero a veces me retraso",Muy efectivo,Siempre,Cómodo
Poco cómodo,"Sí, siempre",Incomodo,Seguidor,Muy importante,Pido ayuda,Raramente,Muy fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Muy cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,No tengo una preferencia clara,Poco importante,Pido ayuda,Ocasionalmente,Fácil,Interesado,"Intento planificar, pero a veces me retraso",Ineficiente,Siempre,Incomodo
Cómodo,"No, me cuesta prestar atención",Cómodo,Líder,No es importante,Pido ayuda,Frecuentemente,Muy fácil,Entusiasmado,Trabajo sin mucha planificación,Efectivo,Frecuentemente,Poco cómodo
Cómodo,"Sí, siempre",Cómodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Frecuentemente,Difícil,Entusiasmado,Trabajo sin mucha planificación,Ineficiente,Frecuentemente,Poco cómodo
Muy cómodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Poco importante,Me siento frustrado pero lo intento,Muy frecuentemente,Fácil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Siempre,Muy cómodo
Muy cómodo,"Sí, siempre",Cómodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Frecuentemente,Difícil,Incomodo,Trabajo sin mucha planificación,Muy efectivo,Algunas veces,Cómodo
Incomodo,Generalmente sí,Incomodo,Seguidor,Importante,Pido ayuda,Frecuentemente,Muy fácil,Interesado,Planifico con antelación y sigo mi plan,Muy efectivo,Raramente,Muy cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,Seguidor,No es importante,Pido ayuda,Ocasionalmente,Difícil,Incomodo,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Poco cómodo
Poco cómodo,Generalmente sí,Poco cómodo,Facilitador,No es importante,Me siento frustrado pero lo intento,Raramente,Muy difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Algunas veces,Incomodo
Muy cómodo,"Sí, siempre",Poco cómodo,Seguidor,No es importante,Busco soluciones inmediatamente,Ocasionalmente,Fácil,Incomodo,Trabajo sin mucha planificación,Muy efectivo,Frecuentemente,Cómodo
Muy cómodo,"No, me cuesta prestar atención",Poco cómodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Frecuentemente,Fácil,Interesado,Planifico con antelación y sigo mi plan,Efectivo,Algunas veces,Cómodo
Cómodo,"No, me cuesta prestar atención",Incomodo,Líder,Importante,Pido ayuda,Ocasionalmente,Difícil,Entusiasmado,"Intento planificar, pero a veces me retraso",Muy efectivo,Siempre,Cómodo
Incomodo,"No, me cuesta prestar atención",Incomodo,Seguidor,Poco importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Poco cómodo
Poco cómodo,A veces,Muy cómodo,No tengo una preferencia clara,Muy importante,Busco soluciones inmediatamente,Frecuentemente,Fácil,Interesado,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Muy cómodo
Incomodo,A veces,Poco cómodo,No tengo una preferencia clara,Muy importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Ineficiente,Raramente,Poco cómodo
Cómodo,A veces,Poco cómodo,No tengo una preferencia clara,Importante,Busco soluciones inmediatamente,Muy frecuentemente,Muy fácil,Entusiasmado,Planifico con antelación y sigo mi plan,Poco efectivo,Algunas veces,Muy cómodo
Cómodo,"No, me cuesta prestar atención",Muy cómodo,Facilitador,No es importante,Me rindo fácilmente,Raramente,Difícil,Neutral,"Intento planificar, pero a veces me retraso",Efectivo,Frecuentemente,Muy cómodo
Muy cómodo,"Sí, siempre",Poco cómodo,No tengo una preferencia clara,Importante,Pido ayuda,Ocasionalmente,Muy difícil,Interesado,Trabajo sin mucha planificación,Ineficiente,Siempre,Poco cómodo
Incomodo,"Sí, siempre",Muy cómodo,Líder,Poco importante,Busco soluciones inmediatamente,Frecuentemente,Difícil,Interesado,Trabajo sin mucha planificación,Ineficiente,Algunas veces,Cómodo
Muy cómodo,"No, me cuesta prestar atención",Muy cómodo,Líder,Poco importante,Me siento frustrado pero lo intento,Muy frecuentemente,Difícil,Entusiasmado,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Cómodo
Cómodo,Generalmente sí,Muy cómodo,Seguidor,Importante,Me siento frustrado pero lo intento,Raramente,Muy fácil,Neutral,Trabajo sin mucha planificación,Ineficiente,Raramente,Cómodo
Cómodo,Generalmente sí,Incomodo,No tengo una preferencia clara,Poco importante,Me rindo fácilmente,Frecuentemente,Difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Siempre,Incomodo
Muy cómodo,"Sí, siempre",Cómodo,Facilitador,No es importante,Me rindo fácilmente,Ocasionalmente,Fácil,Neutral,Planifico con antelación y sigo mi plan,Ineficiente,Frecuentemente,Muy cómodo
Muy cómodo,A veces,Poco cómodo,Líder,Muy importante,Busco soluciones inmediatamente,Muy frecuentemente,Difícil,Neutral,Planifico con antelación y sigo mi plan,Ineficiente,Siempre,Poco cómodo
Cómodo,Generalmente sí,Muy cómodo,No tengo una preferencia clara,Poco importante,Me siento frustrado pero lo intento,Raramente,Difícil,Interesado,Planifico con antelación y sigo mi plan,Poco efectivo,Raramente,Incomodo
Poco cómodo,A veces,Poco cómodo,Líder,Importante,Me siento frustrado pero lo intento,Frecuentemente,Fácil,Neutral,"Intento planificar, pero a veces me retraso",Muy efectivo,Raramente,Incomodo
Muy cómodo,Generalmente sí,Muy cómodo,Seguidor,Importante,Pido ayuda,Ocasionalmente,Muy fácil,Entusiasmado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Raramente,Cómodo
Cómodo,"No, me cuesta prestar atención",Cómodo,Líder,No es importante,Busco soluciones inmediatamente,Muy frecuentemente,Fácil,Entusiasmado,Trabajo sin mucha planificación,Ineficiente,Raramente,Cómodo
Poco cómodo,Generalmente sí,Muy cómodo,Líder,Poco importante,Me rindo fácilmente,Muy frecuentemente,Fácil,Incomodo,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Frecuentemente,Muy cómodo
Poco cómodo,"No, me cuesta prestar atención",Poco cómodo,Facilitador,Importante,Busco soluciones inmediatamente,Frecuentemente,Muy difícil,Interesado,Suelo procrastinar y hacer todo al último momento,Muy efectivo,Algunas veces,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Muy cómodo,Seguidor,Muy importante,Me siento frustrado pero lo intento,Muy frecuentemente,Fácil,Incomodo,Planifico con antelación y sigo mi plan,Muy efectivo,Algunas veces,Poco cómodo
Poco cómodo,Generalmente sí,Cómodo,Facilitador,No es importante,Pido ayuda,Frecuentemente,Fácil,Neutral,Trabajo sin mucha planificación,Poco efectivo,Raramente,Poco cómodo
Incomodo,"Sí, siempre",Cómodo,Facilitador,Importante,Pido ayuda,Frecuentemente,Difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Poco efectivo,Raramente,Poco cómodo
Poco cómodo,"Sí, siempre",Incomodo,No tengo una preferencia clara,Poco importante,Busco soluciones inmediatamente,Ocasionalmente,Muy difícil,Neutral,Planifico con antelación y sigo mi plan,Poco efectivo,Frecuentemente,Incomodo
Incomodo,Generalmente sí,Cómodo,Facilitador,No es importante,Me siento frustrado pero lo intento,Frecuentemente,Muy difícil,Incomodo,"Intento planificar, pero a veces me retraso",Efectivo,Algunas veces,Cómodo
Muy cómodo,"Sí, siempre",Cómodo,Líder,Poco importante,Pido ayuda,Ocasionalmente,Muy difícil,Interesado,Planifico con antelación y sigo mi plan,Ineficiente,Raramente,Muy cómodo
Cómodo,Generalmente sí,Poco cómodo,No tengo una preferencia clara,No es importante,Me rindo fácilmente,Ocasionalmente,Difícil,Incomodo,"Intento planificar, pero a veces me retraso",Muy efectivo,Frecuentemente,Muy cómodo
Poco cómodo,A veces,Cómodo,Líder,Muy importante,Busco soluciones inmediatamente,Raramente,Muy fácil,Interesado,"Intento planificar, pero a veces me retraso",Efectivo,Algunas veces,Poco cómodo
Poco cómodo,"No, me cuesta prestar atención",Muy cómodo,No tengo una preferencia clara,Poco importante,Busco soluciones inmediatamente,Ocasionalmente,Difícil,Neutral,Suelo procrastinar y hacer todo al último momento,Ineficiente,Algunas veces,Cómodo
Muy cómodo,Generalmente sí,Cómodo,Facilitador,No es importante,Me rindo fácilmente,Ocasionalmente,Muy fácil,Incomodo,Trabajo sin mucha planificación,Efectivo,Siempre,Muy cómodo
Muy cómodo,Generalmente sí,Muy cómodo,Facilitador,Importante,Me siento frustrado pero lo intento,Muy frecuentemente,Muy difícil,Neutral,Planifico con antelación y sigo mi plan,Muy efectivo,Frecuentemente,Cómodo
Cómodo,"No, me cuesta prestar atención",Muy cómodo,No tengo una preferencia clara,Muy importante,Me rindo fácilmente,Frecuentemente,Fácil,Entusiasmado,"Intento planificar, pero a veces me retraso",Muy efectivo,Algunas veces,Incomodo
